"","strata","time","n.risk","n.event","surv","std.err","lower","upper"
"47","TUfin$cluster=2",775,18,1,0.346938775510204,0.0679994390069423,0.236275513260575,0.509432874746417
"48","TUfin$cluster=2",804,17,1,0.326530612244898,0.0669919842161869,0.218418229084492,0.488156328251259
"49","TUfin$cluster=2",858,16,1,0.306122448979592,0.0658401737063336,0.200826277356752,0.46662695242213
"50","TUfin$cluster=2",896,15,1,0.285714285714286,0.0645362787789465,0.18351227759414,0.444834831388039
"51","TUfin$cluster=2",899,14,1,0.26530612244898,0.063070867792373,0.1664915796403,0.422768158972259
"52","TUfin$cluster=2",1003,13,1,0.244897959183673,0.0614323833985582,0.149782886659416,0.400412969398182
"53","TUfin$cluster=2",1094,12,1,0.224489795918367,0.0596065548112562,0.13340910776072,0.377752833501135
"54","TUfin$cluster=2",1117,11,1,0.204081632653061,0.0575755616855146,0.117398548092011,0.3547685509168
"55","TUfin$cluster=2",1162,10,1,0.183673469387755,0.0553168103819542,0.101786611222636,0.331437926380559
"56","TUfin$cluster=2",1199,9,1,0.163265306122449,0.0528010795226671,0.0866183087378949,0.307735865218935
"57","TUfin$cluster=2",1301,8,1,0.142857142857143,0.0499895865874118,0.0719520989128318,0.283635412637929
"58","TUfin$cluster=2",1348,7,1,0.122448979591837,0.0468290915574607,0.0578660331078916,0.259111464840282
"59","TUfin$cluster=2",1372,6,1,0.102040816326531,0.043243139866447,0.044468182146234,0.234152324067211
"60","TUfin$cluster=2",1422,5,1,0.0816326530612245,0.0391148917346902,0.0319156998975117,0.208796613178262
"61","TUfin$cluster=2",1674,4,1,0.0612244897959184,0.0342488050276115,0.0204533974848449,0.183267261761668
"62","TUfin$cluster=2",1881,3,1,0.0408163265306122,0.0282663548537395,0.0105040063652766,0.158603532168528
"63","TUfin$cluster=2",2268,2,1,0.0204081632653061,0.0201988432369548,0.00293314058927426,0.141995623866922
"64","TUfin$cluster=2",3275,1,1,0,NA,NA,NA
"65","TUfin$cluster=3",38,61,1,0.983606557377049,0.0162585148747693,0.952251110656431,1
"66","TUfin$cluster=3",43,60,1,0.967213114754098,0.0228005987129378,0.923541417476611,1
"67","TUfin$cluster=3",65,59,1,0.950819672131147,0.0276872531538608,0.898073167520087,1
"68","TUfin$cluster=3",68,58,1,0.934426229508197,0.0316936801672788,0.874327500487273,0.998655970338674
"69","TUfin$cluster=3",97,57,1,0.918032786885246,0.0351224063481957,0.851711748205203,0.98951810817718
"70","TUfin$cluster=3",99,56,1,0.901639344262295,0.0381295971999709,0.829920000700553,0.979556471027942
"71","TUfin$cluster=3",153,55,1,0.885245901639344,0.0408085484595875,0.808769512682451,0.968953816978195
"72","TUfin$cluster=3",172,54,1,0.868852459016393,0.0432203396785265,0.788140644996755,0.957829798946534
"73","TUfin$cluster=3",183,53,1,0.852459016393442,0.0454075608932934,0.767949972190042,0.946267857212246
"74","TUfin$cluster=3",212,52,1,0.836065573770492,0.0474013090582034,0.748136576359366,0.93432892566987
"75","TUfin$cluster=3",243,51,1,0.819672131147541,0.0492250983176947,0.728654387254754,0.92205909184357
"76","TUfin$cluster=3",259,50,1,0.80327868852459,0.050897202262446,0.709467594188651,0.909494185108908
"77","TUfin$cluster=3",275,49,1,0.786885245901639,0.0524321350099745,0.690547744924551,0.896662677951884
"78","TUfin$cluster=3",293,48,1,0.770491803278688,0.0538416293871785,0.671871829643741,0.883587602168752
"79","TUfin$cluster=3",304,47,1,0.754098360655737,0.0551353064581181,0.653420969462625,0.870287860537047
"80","TUfin$cluster=3",320,46,1,0.737704918032787,0.0563211476374296,0.635179491584965,0.856779151876891
"81","TUfin$cluster=3",325,45,1,0.721311475409836,0.0574058360619016,0.617134260483224,0.843074640112381
"82","TUfin$cluster=3",328,44,1,0.704918032786885,0.0583950087467836,0.599274183762765,0.82918544868411
"83","TUfin$cluster=3",337,43,1,0.688524590163934,0.0592934462559748,0.581589840348511,0.815121032678864
"84","TUfin$cluster=3",342,42,1,0.672131147540983,0.0601052175862099,0.564073196318975,0.800889463358396
"85","TUfin$cluster=3",348,41,1,0.655737704918033,0.0608337922791547,0.54671738484922,0.786497648633867
"86","TUfin$cluster=3",350,40,1,0.639344262295082,0.0614821280929935,0.529516533935274,0.771951505823249
"87","TUfin$cluster=3",356,39,1,0.622950819672131,0.0620527401202028,0.512465630359241,0.757256098244369
"88","TUfin$cluster=3",360,38,1,0.60655737704918,0.0625477555777169,0.495560411604129,0.742415743949058
